,sched_arr_time_formatted,weekday,service_rte_num,lateness,psngr_load
0,00:00:00,Friday,0,148.7260101010101,2.4532828282828283
56,00:00:00,Monday,0,109.00984179543781,2.111662987490802
118,00:00:00,Saturday,0,155.35056584362138,2.4170524691358026
170,00:00:00,Sunday,0,108.25884353741496,2.1177721088435373
225,00:00:00,Thursday,0,124.9402356902357,2.1523569023569022
281,00:00:00,Tuesday,0,88.15109427609428,2.034090909090909
337,00:00:00,Wednesday,0,89.5016835016835,2.1523569023569022
393,00:05:00,Friday,0,165.38216510903428,2.8240654205607476
446,00:05:00,Monday,0,117.51318027210885,1.9641826427540714
505,00:05:00,Saturday,0,129.12389380530973,2.823746312684366
559,00:05:00,Sunday,0,128.52517361111111,2.1636284722222223
610,00:05:00,Thursday,0,131.10132398753893,2.4348130841121494
663,00:05:00,Tuesday,0,104.94065420560747,2.1898753894081
716,00:05:00,Wednesday,0,85.87383177570094,2.291121495327103
769,00:10:00,Friday,0,166.75059523809523,2.5257936507936507
822,00:10:00,Monday,0,90.9223969252271,1.8049440950384346
881,00:10:00,Saturday,0,120.21359649122806,2.4190058479532164
932,00:10:00,Sunday,0,104.96375,1.9983333333333335
983,00:10:00,Thursday,0,101.00297619047619,2.1343253968253966
1036,00:10:00,Tuesday,0,91.67480158730159,2.0398809523809525
1089,00:10:00,Wednesday,0,67.3994391025641,2.154647435897436
1142,00:15:00,Friday,0,154.42578125,2.6380208333333335
1194,00:15:00,Monday,0,91.13422688422689,1.9885392385392384
1250,00:15:00,Saturday,0,138.96503267973856,2.603921568627451
1299,00:15:00,Sunday,0,95.73797425474254,1.9683265582655827
1348,00:15:00,Thursday,0,102.54036458333333,2.07421875
1400,00:15:00,Tuesday,0,93.97675438596491,1.9425438596491227
1452,00:15:00,Wednesday,0,69.91059027777779,2.140625
1504,00:20:00,Friday,0,185.58473782771537,3.013576779026217
1556,00:20:00,Monday,0,94.49432707355243,2.008607198748044
1612,00:20:00,Saturday,0,113.24116161616162,2.197250280583614
1662,00:20:00,Sunday,0,122.13139204545455,2.297348484848485
1707,00:20:00,Thursday,0,102.01966292134831,2.249063670411985
1759,00:20:00,Tuesday,0,110.85814606741573,2.5014044943820224
1811,00:20:00,Wednesday,0,82.35112359550561,2.227059925093633
1863,00:25:00,Friday,0,135.42134831460675,2.0519662921348316
1912,00:25:00,Monday,0,42.36810515873016,1.83125
1969,00:25:00,Saturday,0,123.33762886597938,2.3990549828178693
2017,00:25:00,Sunday,0,52.8984674329502,1.5766283524904214
2065,00:25:00,Thursday,0,56.65543071161049,1.7181647940074904
2114,00:25:00,Tuesday,0,62.39513108614233,1.7602996254681647
2163,00:25:00,Wednesday,0,45.313202247191015,1.687734082397004
2212,00:30:00,Friday,0,169.67888888888888,2.6888888888888887
2259,00:30:00,Monday,0,88.87236590038313,2.1918103448275863
2313,00:30:00,Saturday,0,130.70299145299145,2.2756410256410255
2360,00:30:00,Sunday,0,140.4331140350877,2.5219298245614032
2404,00:30:00,Thursday,0,98.88555555555556,1.985
2451,00:30:00,Tuesday,0,81.06944444444444,1.98
2498,00:30:00,Wednesday,0,66.65444444444444,2.1938888888888886
2545,00:35:00,Friday,0,163.121875,2.783333333333333
2593,00:35:00,Monday,0,76.30819327731092,2.1449579831932772
2645,00:35:00,Saturday,0,154.29092592592593,2.9775925925925923
2689,00:35:00,Sunday,0,103.67625195618153,2.415492957746479
2733,00:35:00,Thursday,0,80.04947916666666,2.205208333333333
2781,00:35:00,Tuesday,0,63.4328125,2.0839583333333334
2829,00:35:00,Wednesday,0,86.26614583333334,2.397569444444444
2877,00:40:00,Friday,0,152.77938034188034,2.4780982905982905
2924,00:40:00,Monday,0,84.3230603448276,2.0160919540229885
2976,00:40:00,Saturday,0,147.34480676328502,3.068236714975845
3018,00:40:00,Sunday,0,90.5519406392694,2.4235159817351595
3060,00:40:00,Thursday,0,39.73464912280702,1.9808114035087718
3107,00:40:00,Tuesday,0,43.97649572649573,1.7473290598290596
3154,00:40:00,Wednesday,0,29.5534188034188,2.045940170940171
3201,00:45:00,Friday,0,178.75512820512822,2.955769230769231
3238,00:45:00,Monday,0,84.73726851851852,1.8292824074074074
3283,00:45:00,Saturday,0,104.26190476190477,2.2767857142857144
3318,00:45:00,Sunday,0,103.04910714285714,2.0982142857142856
3355,00:45:00,Thursday,0,87.76515151515152,2.1875
3393,00:45:00,Tuesday,0,65.16602564102564,2.2237179487179484
3431,00:45:00,Wednesday,0,67.03472222222223,2.0744949494949494
3469,00:50:00,Friday,0,151.88174019607845,2.5073529411764706
3508,00:50:00,Monday,0,72.22805555555556,2.1127777777777776
3551,00:50:00,Saturday,0,118.70190713101161,2.261608623548922
3590,00:50:00,Sunday,0,76.51944444444445,2.575
3623,00:50:00,Thursday,0,68.43504901960785,1.8247549019607845
3662,00:50:00,Tuesday,0,73.93097014925372,1.9042288557213929
3700,00:50:00,Wednesday,0,59.91666666666667,1.696078431372549
3739,00:55:00,Friday,0,164.13839285714286,2.0673363095238093
3783,00:55:00,Monday,0,34.289910600255425,1.7239782886334611
3831,00:55:00,Saturday,0,127.78108465608464,2.0198412698412698
3870,00:55:00,Sunday,0,59.60193452380952,2.068452380952381
3906,00:55:00,Thursday,0,52.988839285714285,1.7953869047619047
3950,00:55:00,Tuesday,0,61.88095238095239,1.498139880952381
3994,00:55:00,Wednesday,0,37.047247023809526,1.5003720238095237
4037,01:00:00,Friday,0,199.22485632183907,2.464080459770115
